@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
66,5,8,8,0,0,?
54,4,7,5,0,0,?
30,3,3,2,0,0,?
56,8,7,22,0,0,?
37,3,3,3,0,0,?
47,12,2,10,2,0,?
29,2,2,2,0,0,?
27,4,1,2,0,0,?
47,4,5,2,0,0,?
30,3,1,4,0,0,?
27,0,1,17,0,0,?
63,8,5,9,0,2,?
26,3,1,2,0,0,?
48,6,2,3,0,0,?
31,3,1,5,0,0,?
26,3,1,2,0,0,?
132,13,9,46,0,0,?
40,4,3,2,0,0,?
39,4,3,2,0,0,?
38,5,3,14,0,0,?
53,5,6,2,0,0,?
28,4,1,2,0,0,?
24,3,1,8,0,0,?
37,5,1,10,0,0,?
30,5,1,9,2,0,?
25,3,1,6,0,0,?
26,3,1,7,0,0,?
26,3,1,8,0,0,?
25,3,1,7,0,0,?
30,5,1,9,2,0,?
25,3,1,6,0,0,?
37,9,1,9,4,0,?
26,3,1,7,0,0,?
26,3,1,7,0,0,?
27,3,1,8,0,0,?
33,6,1,13,2,0,?
27,5,1,8,0,0,?
24,3,1,6,0,0,?
26,3,1,7,0,0,?
27,5,1,8,0,0,?
37,9,1,9,4,0,?
26,3,1,4,0,0,?
25,3,1,7,0,0,?
26,3,1,8,0,0,?
25,3,1,6,0,0,?
27,3,1,7,0,0,?
37,9,1,9,4,0,?
33,3,2,3,0,1,?
296,30,41,104,0,0,?
145,20,15,56,0,0,?
46,10,3,23,0,0,?
76,12,6,28,0,0,?
35,3,3,6,0,0,?
44,5,4,12,0,0,?
50,12,3,28,0,0,?
35,3,3,4,0,0,?
44,5,4,12,0,0,?
33,3,3,3,0,0,?
44,5,4,12,0,0,?
78,7,6,6,0,0,?
26,2,2,2,0,0,?
23,3,1,2,0,0,?
54,6,7,2,0,0,?
40,6,3,8,1,0,?
22,3,1,2,0,0,?
27,1,2,4,0,0,?
35,6,2,4,0,0,?
35,6,2,4,0,0,?
22,3,1,2,0,0,?
22,3,1,2,0,0,?
26,4,1,2,0,0,?
26,1,2,4,0,0,?
26,4,1,2,0,0,?
22,3,1,2,0,0,?
22,3,1,2,0,0,?
24,2,1,4,0,0,?
24,4,1,2,0,0,?
24,2,1,8,0,0,?
40,3,4,8,0,0,?
22,2,1,4,0,0,?
35,6,2,4,0,0,?
22,3,1,2,0,0,?
44,4,2,8,0,0,?
144,4,22,6,0,1,?
38,2,2,16,0,0,?
39,4,2,9,0,0,?
116,9,12,42,0,0,?
45,4,7,4,0,0,?
21,3,1,9,0,0,?
39,6,3,7,1,0,?
77,8,10,13,0,0,?
57,5,7,6,0,0,?
57,5,7,6,0,0,?
82,21,8,20,0,0,?
44,7,3,6,0,0,?
22,3,1,9,0,0,?
229,33,25,119,0,0,?
30,3,1,5,0,0,?
30,4,1,4,0,0,?
29,3,3,2,0,0,?
87,18,5,17,0,0,?
65,2,7,42,0,0,?
72,5,11,1,0,0,?
85,11,9,17,0,0,?
31,2,3,2,0,0,?
32,3,3,13,0,0,?
22,2,1,5,0,0,?
42,4,4,4,0,0,?
40,4,4,16,0,0,?
22,2,1,1,0,0,?
50,9,2,23,2,0,?
28,3,1,4,0,0,?
29,2,3,3,0,0,?
214,28,35,14,0,0,?
34,4,1,2,0,0,?
56,7,4,19,0,0,?
39,3,3,5,0,0,?
34,1,3,12,0,0,?
87,16,6,35,0,0,?
44,2,4,3,0,0,?
25,2,1,19,0,0,?
35,3,3,6,0,0,?
20,2,1,6,0,0,?
16,2,1,3,0,0,?
56,7,4,19,0,0,?
52,9,3,14,0,0,?
125,14,14,42,0,0,?
31,2,3,2,0,0,?
17,0,1,4,0,0,?
67,5,3,3,1,7,?
34,4,2,8,0,0,?
29,2,3,8,0,0,?
57,5,7,4,0,0,?
89,19,8,27,2,0,?
69,14,5,20,1,1,?
50,5,3,4,0,0,?
57,4,4,19,0,0,?
57,6,8,5,0,0,?
42,3,4,3,0,0,?
56,7,4,19,0,0,?
34,1,3,10,0,0,?
31,2,3,4,0,0,?
37,3,4,3,0,0,?
28,3,3,2,0,0,?
29,2,2,11,0,0,?
52,4,5,3,0,0,?
23,3,1,10,0,0,?
106,8,12,15,0,2,?
31,1,3,2,0,0,?
25,4,1,8,0,0,?
30,3,3,14,0,0,?
28,5,1,4,0,0,?
33,6,1,5,0,0,?
25,2,1,4,0,0,?
62,15,1,31,2,0,?
47,6,3,12,0,0,?
57,5,7,4,0,0,?
74,10,5,16,0,0,?
108,4,7,27,0,1,?
23,4,1,2,0,0,?
48,4,5,10,0,0,?
37,3,4,3,0,0,?
53,9,3,14,0,0,?
133,29,10,50,0,0,?
113,11,9,18,0,0,?
210,21,31,24,0,0,?
14,1,1,3,0,0,?
132,12,15,18,0,3,?
44,4,3,6,0,0,?
26,4,1,5,0,0,?
26,4,2,6,0,0,?
51,5,7,7,0,0,?
50,5,5,22,0,0,?
46,4,3,2,0,0,?
80,8,8,19,0,0,?
23,3,1,2,0,0,?
22,3,1,9,0,0,?
214,28,35,14,0,0,?
24,3,1,6,0,0,?
32,9,1,8,1,0,?
61,12,3,15,0,0,?
23,3,1,2,0,0,?
65,12,3,18,0,0,?
74,9,7,23,0,0,?
48,4,5,8,0,0,?
30,2,1,8,0,0,?
18,2,1,6,0,0,?
46,4,3,2,0,0,?
30,1,3,4,0,0,?
79,8,8,20,0,0,?
30,3,1,5,0,0,?
16,2,1,3,0,0,?
35,5,1,34,1,0,?
22,1,1,4,0,0,?
52,7,2,16,1,0,?
84,11,8,16,0,0,?
57,5,5,30,0,0,?
31,5,2,4,0,0,?
18,1,1,3,0,0,?
18,0,1,10,0,0,?
44,9,1,13,2,0,?
87,16,8,25,2,0,?
47,4,3,8,0,0,?
72,7,8,12,0,0,?
92,11,8,24,0,2,?
56,10,3,14,0,0,?
65,13,6,26,2,0,?
76,1,15,22,0,0,?
26,2,2,6,0,0,?
43,4,5,4,0,0,?
48,3,4,3,0,0,?
58,6,7,15,0,0,?
69,12,4,25,4,0,?
33,2,3,2,0,0,?
43,4,4,12,0,0,?
42,4,5,4,0,0,?
62,7,2,3,0,0,?
23,4,2,6,0,0,?
18,2,1,2,0,0,?
28,3,3,3,0,0,?
97,7,5,22,0,1,?
28,2,2,2,0,0,?
19,2,1,4,0,0,?
22,2,1,3,0,0,?
24,1,1,2,0,0,?
28,3,3,3,0,0,?
35,10,2,12,3,0,?
69,11,7,28,0,0,?
69,11,7,28,0,0,?
37,10,2,12,3,0,?
64,13,2,28,0,0,?
64,13,2,28,0,0,?
70,22,4,23,6,0,?
61,9,6,24,0,0,?
64,13,2,28,0,0,?
90,17,3,72,0,0,?
35,5,3,12,0,0,?
35,5,3,12,0,0,?
35,5,3,12,0,0,?
90,17,3,42,0,0,?
35,5,3,12,0,0,?
64,13,2,28,0,0,?
61,9,6,24,0,0,?
27,2,3,3,0,0,?
35,1,3,12,0,0,?
